time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-01-28T00:00Z,MediumPower,242,247,97,98
2023-01-28T00:30Z,MediumPower,243,246,144,151
2023-01-28T01:00Z,MediumPower,243,249,218,214
2023-01-28T01:30Z,MediumPower,242,246,223,233
2023-01-28T02:00Z,MediumPower,240,246,291,283
2023-01-28T02:30Z,MediumPower,242,246,326,317
2023-01-28T03:00Z,MediumPower,241,248,364,369
2023-01-28T03:30Z,MediumPower,240,247,421,405
2023-01-28T04:00Z,MediumPower,242,250,459,465
2023-01-28T04:30Z,MediumPower,238,248,581,563
2023-01-28T05:00Z,MediumPower,241,252,670,685
2023-01-28T05:30Z,MediumPower,245,254,727,712
2023-01-28T06:00Z,MediumPower,250,258,700,729
2023-01-28T06:30Z,MediumPower,256,254,781,794
2023-01-28T07:00Z,MediumPower,269,261,895,905
2023-01-28T07:30Z,MediumPower,270,266,935,901
2023-01-28T08:00Z,LowPower,270,269,943,914
2023-01-28T08:30Z,MediumPower,273,269,961,1001
2023-01-28T09:00Z,MediumPower,262,267,890,894
2023-01-28T09:30Z,LowPower,262,271,773,748
2023-01-28T10:00Z,MediumPower,255,265,715,683
2023-01-28T10:30Z,MediumPower,254,264,626,629
2023-01-28T11:00Z,MediumPower,255,257,655,679
2023-01-28T11:30Z,MediumPower,256,252,529,515
2023-01-28T12:00Z,MediumPower,256,260,496,512
2023-01-28T12:30Z,MediumPower,254,262,619,614
2023-01-28T13:00Z,MediumPower,255,263,554,565
2023-01-28T13:30Z,MediumPower,255,261,641,670
2023-01-28T14:00Z,MediumPower,263,258,708,744
2023-01-28T14:30Z,MediumPower,266,256,869,877
2023-01-28T15:00Z,MediumPower,268,263,779,817
2023-01-28T15:30Z,LowPower,270,272,900,888
2023-01-28T16:00Z,MediumPower,266,271,972,949
2023-01-28T16:30Z,LowPower,259,271,848,829
2023-01-28T17:00Z,LowPower,251,274,852,852
2023-01-28T17:30Z,MediumPower,250,264,791,782
2023-01-28T18:00Z,MediumPower,252,257,662,639
2023-01-28T18:30Z,MediumPower,252,254,498,508
2023-01-28T19:00Z,MediumPower,262,256,497,492
2023-01-28T19:30Z,MediumPower,256,254,388,402
2023-01-28T20:00Z,LowPower,265,264,314,309
2023-01-28T20:30Z,MediumPower,259,256,278,265
2023-01-28T21:00Z,MediumPower,256,255,261,266
2023-01-28T21:30Z,MediumPower,242,246,234,230
2023-01-28T22:00Z,MediumPower,223,250,196,203
2023-01-28T22:30Z,MediumPower,210,236,184,176
2023-01-28T23:00Z,MediumPower,176,219,134,141
2023-01-28T23:30Z,MediumPower,164,203,119,123
