time_slot,strategy
2023-01-28T00:00Z,HighPower
2023-01-28T00:30Z,MediumPower
2023-01-28T01:00Z,HighPower
2023-01-28T01:30Z,HighPower
2023-01-28T02:00Z,HighPower
2023-01-28T02:30Z,HighPower
2023-01-28T03:00Z,HighPower
2023-01-28T03:30Z,HighPower
2023-01-28T04:00Z,HighPower
2023-01-28T04:30Z,HighPower
2023-01-28T05:00Z,HighPower
2023-01-28T05:30Z,HighPower
2023-01-28T06:00Z,HighPower
2023-01-28T06:30Z,HighPower
2023-01-28T07:00Z,HighPower
2023-01-28T07:30Z,MediumPower
2023-01-28T08:00Z,MediumPower
2023-01-28T08:30Z,MediumPower
2023-01-28T09:00Z,MediumPower
2023-01-28T09:30Z,MediumPower
2023-01-28T10:00Z,MediumPower
2023-01-28T10:30Z,HighPower
2023-01-28T11:00Z,HighPower
2023-01-28T11:30Z,HighPower
2023-01-28T12:00Z,HighPower
2023-01-28T12:30Z,HighPower
2023-01-28T13:00Z,MediumPower
2023-01-28T13:30Z,MediumPower
2023-01-28T14:00Z,HighPower
2023-01-28T14:30Z,HighPower
2023-01-28T15:00Z,MediumPower
2023-01-28T15:30Z,MediumPower
2023-01-28T16:00Z,MediumPower
2023-01-28T16:30Z,MediumPower
2023-01-28T17:00Z,MediumPower
2023-01-28T17:30Z,MediumPower
2023-01-28T18:00Z,HighPower
2023-01-28T18:30Z,HighPower
2023-01-28T19:00Z,HighPower
2023-01-28T19:30Z,HighPower
2023-01-28T20:00Z,HighPower
2023-01-28T20:30Z,HighPower
2023-01-28T21:00Z,HighPower
2023-01-28T21:30Z,HighPower
2023-01-28T22:00Z,HighPower
2023-01-28T22:30Z,HighPower
2023-01-28T23:00Z,HighPower
2023-01-28T23:30Z,HighPower
