time_slot,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-08-12T00:00Z,145,144,105,110
2023-08-12T00:30Z,129,133,150,144
2023-08-12T01:00Z,123,124,211,205
2023-08-12T01:30Z,122,118,256,255
2023-08-12T02:00Z,118,108,328,314
2023-08-12T02:30Z,125,104,400,381
2023-08-12T03:00Z,117,106,383,377
2023-08-12T03:30Z,121,110,414,424
2023-08-12T04:00Z,121,100,492,516
2023-08-12T04:30Z,112,106,536,523
2023-08-12T05:00Z,110,103,581,583
2023-08-12T05:30Z,100,99,637,628
2023-08-12T06:00Z,97,96,702,674
2023-08-12T06:30Z,100,92,776,802
2023-08-12T07:00Z,115,86,895,888
2023-08-12T07:30Z,102,91,907,895
2023-08-12T08:00Z,86,86,945,946
2023-08-12T08:30Z,82,88,936,976
2023-08-12T09:00Z,75,78,895,909
2023-08-12T09:30Z,80,79,790,804
2023-08-12T10:00Z,73,69,789,776
2023-08-12T10:30Z,68,74,769,743
2023-08-12T11:00Z,66,64,646,658
2023-08-12T11:30Z,62,65,584,573
2023-08-12T12:00Z,62,63,505,516
2023-08-12T12:30Z,64,60,638,611
2023-08-12T13:00Z,63,58,634,615
2023-08-12T13:30Z,70,63,695,692
2023-08-12T14:00Z,72,57,766,770
2023-08-12T14:30Z,66,63,859,876
2023-08-12T15:00Z,73,63,912,929
2023-08-12T15:30Z,74,60,894,854
2023-08-12T16:00Z,78,66,924,933
2023-08-12T16:30Z,97,70,878,877
2023-08-12T17:00Z,109,75,907,865
2023-08-12T17:30Z,111,88,757,746
2023-08-12T18:00Z,112,98,623,621
2023-08-12T18:30Z,119,98,513,518
2023-08-12T19:00Z,121,103,474,490
2023-08-12T19:30Z,122,104,393,399
2023-08-12T20:00Z,117,105,335,327
2023-08-12T20:30Z,117,105,278,275
2023-08-12T21:00Z,110,102,256,250
2023-08-12T21:30Z,93,100,199,206
2023-08-12T22:00Z,89,101,182,182
2023-08-12T22:30Z,91,85,180,173
2023-08-12T23:00Z,87,81,144,145
2023-08-12T23:30Z,88,81,121,119
