time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-03-25T00:00Z,HighPower,57,73,106,105
2023-03-25T00:30Z,HighPower,57,73,151,153
2023-03-25T01:00Z,HighPower,57,71,200,195
2023-03-25T01:30Z,HighPower,56,71,248,238
2023-03-25T02:00Z,HighPower,59,71,322,326
2023-03-25T02:30Z,HighPower,59,67,374,363
2023-03-25T03:00Z,HighPower,58,68,425,430
2023-03-25T03:30Z,HighPower,57,66,446,467
2023-03-25T04:00Z,HighPower,58,67,516,503
2023-03-25T04:30Z,HighPower,58,70,559,586
2023-03-25T05:00Z,HighPower,58,70,576,583
2023-03-25T05:30Z,HighPower,58,71,730,735
2023-03-25T06:00Z,HighPower,56,70,731,767
2023-03-25T06:30Z,HighPower,56,68,855,824
2023-03-25T07:00Z,HighPower,56,67,951,936
2023-03-25T07:30Z,HighPower,56,65,885,896
2023-03-25T08:00Z,HighPower,53,58,954,981
2023-03-25T08:30Z,HighPower,53,57,925,952
2023-03-25T09:00Z,HighPower,50,54,803,844
2023-03-25T09:30Z,HighPower,47,53,758,775
2023-03-25T10:00Z,HighPower,52,51,777,775
2023-03-25T10:30Z,HighPower,51,44,725,711
2023-03-25T11:00Z,HighPower,50,44,622,609
2023-03-25T11:30Z,HighPower,51,46,585,591
2023-03-25T12:00Z,HighPower,56,35,526,519
2023-03-25T12:30Z,HighPower,55,50,567,582
2023-03-25T13:00Z,HighPower,53,56,657,665
2023-03-25T13:30Z,HighPower,58,52,607,636
2023-03-25T14:00Z,HighPower,63,56,714,726
2023-03-25T14:30Z,HighPower,70,55,913,889
2023-03-25T15:00Z,HighPower,89,70,902,865
2023-03-25T15:30Z,HighPower,106,79,935,942
2023-03-25T16:00Z,HighPower,121,106,1094,1078
2023-03-25T16:30Z,MediumPower,150,127,808,837
2023-03-25T17:00Z,MediumPower,165,134,768,753
2023-03-25T17:30Z,MediumPower,178,161,743,724
2023-03-25T18:00Z,MediumPower,186,177,667,684
2023-03-25T18:30Z,MediumPower,189,187,546,560
2023-03-25T19:00Z,MediumPower,188,189,447,439
2023-03-25T19:30Z,MediumPower,187,185,405,397
2023-03-25T20:00Z,LowPower,185,199,325,318
2023-03-25T20:30Z,MediumPower,189,180,264,272
2023-03-25T21:00Z,MediumPower,190,186,246,235
2023-03-25T21:30Z,MediumPower,190,191,209,218
2023-03-25T22:00Z,MediumPower,177,187,191,195
2023-03-25T22:30Z,MediumPower,171,184,164,164
2023-03-25T23:00Z,MediumPower,164,176,149,156
2023-03-25T23:30Z,HighPower,160,172,127,128
