time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-10-07T00:00Z,61,59,267,273
2023-10-07T00:30Z,66,59,327,318
2023-10-07T01:00Z,67,61,291,288
2023-10-07T01:30Z,62,61,287,292
2023-10-07T02:00Z,63,62,282,279
2023-10-07T02:30Z,60,62,305,302
2023-10-07T03:00Z,58,64,309,304
2023-10-07T03:30Z,63,61,325,318
2023-10-07T04:00Z,68,61,284,280
2023-10-07T04:30Z,64,65,284,275
2023-10-07T05:00Z,66,68,326,322
2023-10-07T05:30Z,69,65,319,307
2023-10-07T06:00Z,74,66,288,284
2023-10-07T06:30Z,78,64,318,325
2023-10-07T07:00Z,74,66,277,279
2023-10-07T07:30Z,65,73,300,298
2023-10-07T08:00Z,66,68,291,285
2023-10-07T08:30Z,64,62,273,285
2023-10-07T09:00Z,60,64,265,271
2023-10-07T09:30Z,58,57,325,318
2023-10-07T10:00Z,57,60,313,324
2023-10-07T10:30Z,64,61,299,311
2023-10-07T11:00Z,64,55,280,279
2023-10-07T11:30Z,57,61,311,297
2023-10-07T12:00Z,57,67,291,291
2023-10-07T12:30Z,62,61,317,305
2023-10-07T13:00Z,63,57,318,308
2023-10-07T13:30Z,66,60,287,295
2023-10-07T14:00Z,80,60,294,285
2023-10-07T14:30Z,94,71,320,321
2023-10-07T15:00Z,107,96,290,282
2023-10-07T15:30Z,128,108,300,293
2023-10-07T16:00Z,138,120,294,299
2023-10-07T16:30Z,135,142,273,284
2023-10-07T17:00Z,143,155,318,304
2023-10-07T17:30Z,153,137,293,304
2023-10-07T18:00Z,156,137,345,330
2023-10-07T18:30Z,158,150,298,288
2023-10-07T19:00Z,157,155,336,329
2023-10-07T19:30Z,150,152,323,309
2023-10-07T20:00Z,146,158,299,286
2023-10-07T20:30Z,148,140,313,304
2023-10-07T21:00Z,146,137,306,311
2023-10-07T21:30Z,118,143,324,315
2023-10-07T22:00Z,104,130,259,273
2023-10-07T22:30Z,91,122,307,306
2023-10-07T23:00Z,92,117,298,300
2023-10-07T23:30Z,87,90,329,324
