time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-05-01T00:00Z,HighPower,123,119,101,107
2023-05-01T00:30Z,HighPower,123,123,162,152
2023-05-01T01:00Z,HighPower,125,125,220,212
2023-05-01T01:30Z,HighPower,126,139,265,272
2023-05-01T02:00Z,HighPower,118,140,349,322
2023-05-01T02:30Z,HighPower,118,135,309,327
2023-05-01T03:00Z,HighPower,122,134,449,412
2023-05-01T03:30Z,HighPower,118,119,408,407
2023-05-01T04:00Z,HighPower,116,124,476,461
2023-05-01T04:30Z,HighPower,119,119,547,548
2023-05-01T05:00Z,HighPower,125,117,605,645
2023-05-01T05:30Z,HighPower,136,118,618,649
2023-05-01T06:00Z,HighPower,137,121,716,700
2023-05-01T06:30Z,HighPower,138,135,814,873
2023-05-01T07:00Z,HighPower,138,135,955,947
2023-05-01T07:30Z,HighPower,138,138,909,879
2023-05-01T08:00Z,HighPower,133,135,949,902
2023-05-01T08:30Z,HighPower,132,136,807,858
2023-05-01T09:00Z,HighPower,130,133,811,898
2023-05-01T09:30Z,HighPower,126,129,670,745
2023-05-01T10:00Z,HighPower,126,127,703,701
2023-05-01T10:30Z,HighPower,124,129,755,734
2023-05-01T11:00Z,HighPower,119,128,566,626
2023-05-01T11:30Z,HighPower,118,122,562,558
2023-05-01T12:00Z,HighPower,124,121,427,471
2023-05-01T12:30Z,HighPower,125,122,586,559
2023-05-01T13:00Z,HighPower,125,121,559,571
2023-05-01T13:30Z,HighPower,129,129,656,649
2023-05-01T14:00Z,HighPower,132,134,685,695
2023-05-01T14:30Z,MediumPower,144,140,768,795
2023-05-01T15:00Z,MediumPower,154,146,827,805
2023-05-01T15:30Z,MediumPower,163,154,911,918
2023-05-01T16:00Z,MediumPower,172,161,992,1042
2023-05-01T16:30Z,MediumPower,175,178,1019,1003
2023-05-01T17:00Z,MediumPower,172,185,808,756
2023-05-01T17:30Z,MediumPower,176,186,777,708
2023-05-01T18:00Z,LowPower,180,190,702,702
2023-05-01T18:30Z,MediumPower,176,185,528,532
2023-05-01T19:00Z,HighPower,177,188,464,445
2023-05-01T19:30Z,HighPower,185,182,383,355
2023-05-01T20:00Z,MediumPower,185,186,300,309
2023-05-01T20:30Z,MediumPower,196,191,291,278
2023-05-01T21:00Z,MediumPower,194,193,243,232
2023-05-01T21:30Z,HighPower,209,188,230,215
2023-05-01T22:00Z,HighPower,207,164,216,198
2023-05-01T22:30Z,MediumPower,215,202,172,174
2023-05-01T23:00Z,MediumPower,219,200,166,154
2023-05-01T23:30Z,MediumPower,210,205,115,120
