time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-08-12T00:00Z,MediumPower,145,144,99,100
2023-08-12T00:30Z,MediumPower,129,133,157,155
2023-08-12T01:00Z,HighPower,123,124,203,200
2023-08-12T01:30Z,HighPower,122,118,241,230
2023-08-12T02:00Z,HighPower,118,108,312,310
2023-08-12T02:30Z,HighPower,125,104,376,380
2023-08-12T03:00Z,HighPower,117,106,391,393
2023-08-12T03:30Z,MediumPower,121,110,448,456
2023-08-12T04:00Z,HighPower,121,100,554,549
2023-08-12T04:30Z,HighPower,112,106,564,572
2023-08-12T05:00Z,HighPower,110,103,623,638
2023-08-12T05:30Z,HighPower,100,99,618,627
2023-08-12T06:00Z,MediumPower,97,96,745,758
2023-08-12T06:30Z,MediumPower,100,92,781,782
2023-08-12T07:00Z,HighPower,115,86,784,822
2023-08-12T07:30Z,MediumPower,102,91,837,855
2023-08-12T08:00Z,MediumPower,86,86,1099,1061
2023-08-12T08:30Z,MediumPower,82,88,1028,1000
2023-08-12T09:00Z,HighPower,75,78,803,820
2023-08-12T09:30Z,HighPower,80,79,750,776
2023-08-12T10:00Z,HighPower,73,69,758,771
2023-08-12T10:30Z,HighPower,68,74,675,670
2023-08-12T11:00Z,HighPower,66,64,636,626
2023-08-12T11:30Z,HighPower,62,65,523,549
2023-08-12T12:00Z,HighPower,62,63,450,465
2023-08-12T12:30Z,HighPower,64,60,574,558
2023-08-12T13:00Z,HighPower,63,58,640,615
2023-08-12T13:30Z,HighPower,70,63,727,720
2023-08-12T14:00Z,HighPower,72,57,768,766
2023-08-12T14:30Z,HighPower,66,63,844,835
2023-08-12T15:00Z,HighPower,73,63,968,928
2023-08-12T15:30Z,HighPower,74,60,868,861
2023-08-12T16:00Z,HighPower,78,66,930,960
2023-08-12T16:30Z,HighPower,97,70,996,954
2023-08-12T17:00Z,HighPower,109,75,766,785
2023-08-12T17:30Z,HighPower,111,88,793,770
2023-08-12T18:00Z,MediumPower,112,98,703,683
2023-08-12T18:30Z,HighPower,119,98,516,504
2023-08-12T19:00Z,MediumPower,121,103,499,509
2023-08-12T19:30Z,HighPower,122,104,340,354
2023-08-12T20:00Z,HighPower,117,105,273,276
2023-08-12T20:30Z,HighPower,117,105,266,254
2023-08-12T21:00Z,HighPower,110,102,265,268
2023-08-12T21:30Z,HighPower,93,100,246,238
2023-08-12T22:00Z,HighPower,89,101,202,212
2023-08-12T22:30Z,HighPower,91,85,177,183
2023-08-12T23:00Z,HighPower,87,81,154,163
2023-08-12T23:30Z,HighPower,88,81,117,123
init_date,2023-08-12T00:30:00+00:00
emissions,456406
error,5
optimal,true
